i	j	iLIS_best	iLIS_avg	ipTM_best	src
114	135	0.315	0.105	0.40	1
243	148	0.315	0.197	0.52	1
191	213	0.314	0.075	0.42	1
46	171	0.314	0.194	0.59	1
38	186	0.314	0.127	0.62	1
79	220	0.314	0.199	0.56	1
212	94	0.314	0.093	0.58	1
127	79	0.314	0.158	0.51	1
166	173	0.314	0.113	0.52	1
234	60	0.313	0.092	0.41	1
124	239	0.313	0.155	0.69	1
158	233	0.313	0.122	0.45	1
117	179	0.313	0.210	0.53	1
125	18	0.312	0.175	0.44	1
115	156	0.312	0.222	0.42	1
22	153	0.311	0.092	0.47	1
119	197	0.311	0.077	0.48	1
18	167	0.311	0.124	0.69	1
203	139	0.311	0.126	0.53	1
4	32	0.311	0.062	0.43	1
190	80	0.311	0.176	0.64	1
116	182	0.311	0.273	0.52	1
211	19	0.311	0.108	0.31	1
245	70	0.310	0.119	0.48	1
76	206	0.310	0.120	0.45	1
234	233	0.310	0.062	0.53	1
136	132	0.309	0.119	0.65	1
82	235	0.309	0.086	0.69	1
0	50	0.308	0.233	0.37	1
158	133	0.308	0.158	0.42	1
76	217	0.308	0.127	0.62	1
134	156	0.307	0.256	0.48	1
34	8	0.307	0.255	0.33	1
226	132	0.306	0.164	0.70	1
135	153	0.306	0.099	0.55	1
126	220	0.306	0.116	0.58	1
45	112	0.306	0.169	0.44	1
40	133	0.305	0.061	0.49	1
69	148	0.305	0.120	0.47	1
223	94	0.305	0.187	0.56	1
170	197	0.305	0.167	0.51	1
45	137	0.305	0.099	0.36	1
7	190	0.305	0.061	0.59	1
68	21	0.305	0.119	0.64	1
62	174	0.304	0.221	0.49	1
135	156	0.304	0.240	0.47	1
121	183	0.304	0.061	0.64	1
135	171	0.304	0.253	0.43	1
36	209	0.303	0.138	0.50	1
92	213	0.303	0.113	0.50	1
135	66	0.303	0.097	0.56	1
116	239	0.303	0.159	0.65	1
181	171	0.303	0.142	0.44	1
45	124	0.303	0.170	0.35	1
131	127	0.302	0.193	0.54	1
185	199	0.301	0.060	0.26	1
20	240	0.301	0.099	0.46	1
134	171	0.301	0.258	0.43	1
134	140	0.301	0.185	0.55	1
77	22	0.300	0.224	0.49	1
119	187	0.300	0.229	0.33	1
3	213	0.300	0.060	0.58	1
41	122	0.300	0.132	0.63	1
28	78	0.300	0.082	0.62	1
60	37	0.299	0.060	0.47	1
17	51	0.299	0.156	0.65	1
134	213	0.298	0.089	0.38	1
7	103	0.298	0.173	0.68	1
173	167	0.298	0.062	0.57	1
2	91	0.298	0.168	0.49	1
120	129	0.298	0.271	0.68	1
134	68	0.298	0.073	0.59	1
127	173	0.297	0.166	0.38	1
173	59	0.297	0.151	0.54	1
235	163	0.297	0.063	0.69	1
195	231	0.297	0.069	0.38	1
